FraNode,MyNode,nDups,Lon,Lat
335597,1832,3,-110.761756,32.07535
335614,1833,3,-110.729891,41.220998
335670,1834,1,-110.654755,47.832583
335671,1835,4,-110.646839,32.019601
335675,1836,1,-110.623905,32.621369
335680,1837,1,-110.617087,41.71881
335681,1838,1,-110.616845,41.699912
335693,1839,3,-110.60146,39.459642
335703,1840,1,-110.587021,41.727984
335704,1841,3,-110.585378,41.731761
335705,1842,3,-110.584914,41.804408
335706,1843,3,-110.582765,41.801528
335711,1844,3,-110.578993,41.803166
335728,1845,3,-110.562357,41.730419
335738,1846,3,-110.55841,41.73739
335740,1847,3,-110.558181,41.737789
335797,1848,3,-110.444286,31.988353
335818,1849,1,-110.372435,39.562876
335831,1850,1,-110.339671,34.5064
335861,1851,3,-110.293176,41.774217
335862,1852,3,-110.290051,31.966517
335864,1853,3,-110.287762,31.962805
335876,1854,3,-110.283183,31.964568
335878,1855,1,-110.272434,47.610079
335909,1856,3,-110.198199,34.904043
335918,1857,3,-110.187695,34.516073
335919,1858,3,-110.18647,34.903506
335921,1859,3,-110.185558,34.903447
335932,1860,1,-110.17435,31.629814
335938,1861,3,-110.165691,34.900997
335946,1862,3,-110.16392,34.900881
335976,1863,1,-110.116404,48.176832
335989,1864,1,-110.097995,34.513484
336005,1865,1,-110.080878,41.888636
336024,1866,3,-109.980129,41.592996
336025,1867,3,-109.977159,41.589315
336030,1868,3,-109.967115,41.595306
336047,1869,3,-109.947146,32.079484
336048,1870,3,-109.944832,32.082924
336049,1871,3,-109.943829,32.080359
336060,1872,3,-109.905719,47.053975
336063,1873,1,-109.897418,41.68557
336065,1874,1,-109.89693,32.063483
336067,1875,3,-109.89665,47.05445
336068,1876,3,-109.896502,47.05202
336070,1877,3,-109.893778,41.619124
336146,1878,3,-109.804555,38.95112
336148,1879,3,-109.802163,46.926283
336167,1880,1,-109.769416,41.592178
336175,1881,1,-109.764535,41.496543
336186,1882,3,-109.758675,38.966556
336187,1883,3,-109.758652,48.556371
336202,1884,3,-109.751002,41.615106
336211,1885,3,-109.739837,38.968394
336215,1886,3,-109.732606,41.61312
336240,1887,1,-109.70374,41.726465
336260,1888,3,-109.691751,41.576685
336294,1889,1,-109.655693,38.510285
336322,1890,3,-109.604302,47.140359
336324,1891,3,-109.599126,47.129469
336331,1892,3,-109.578261,35.106123
336332,1893,3,-109.57388,47.12718
336336,1894,3,-109.56708,35.10319
336337,1895,3,-109.565548,35.111096
336340,1896,1,-109.55408,47.124492
336353,1897,3,-109.49789,32.331174
336357,1898,3,-109.49415,32.333255
336359,1899,3,-109.491699,32.329773
336407,1900,1,-109.422433,47.06883
336435,1901,3,-109.310042,34.629578
336437,1902,1,-109.29936,33.0558
336444,1903,1,-109.269952,34.58574
336464,1904,1,-109.231568,41.59702
336487,1905,3,-109.223984,41.584463
336517,1906,3,-109.153009,41.595819
336518,1907,1,-109.146967,34.326133
336531,1908,1,-109.129053,41.53973
336544,1909,1,-109.06887,44.53835
336556,1910,2,-109.051523,39.119508
336559,1911,2,-109.048401,32.228879
336561,1912,2,-109.047808,32.602348
336564,1913,2,-109.046735,35.361711
336582,1914,1,-108.992516,35.675186
336607,1915,3,-108.91735,41.675037
336618,1916,3,-108.897505,35.492324
336627,1917,3,-108.882509,41.689761
336631,1918,3,-108.878287,35.503919
336635,1919,3,-108.8729,35.498912
336651,1920,3,-108.847859,46.055497
336652,1921,3,-108.847043,46.054944
336653,1922,3,-108.846396,46.054429
336654,1923,3,-108.845747,46.053827
336661,1924,3,-108.820309,46.033707
336667,1925,3,-108.798531,41.680808
336674,1926,1,-108.786304,41.738914
336701,1927,1,-108.77855,39.172942
336704,1928,3,-108.778211,45.666905
336715,1929,3,-108.776115,39.176891
336717,1930,3,-108.773308,45.6655
336727,1931,3,-108.769857,45.668952
336820,1932,3,-108.739307,32.355544
336822,1933,3,-108.736226,32.359705
336837,1934,3,-108.718888,32.353215
336844,1935,3,-108.713451,45.682796
336849,1936,3,-108.709901,32.351045
336854,1937,3,-108.709411,45.687721
336864,1938,3,-108.703501,45.685429
336886,1939,3,-108.683008,32.343912
336924,1940,3,-108.63032,44.955951
336927,1941,2,-108.628116,45.000388
336928,1942,3,-108.626864,44.955706
336929,1943,3,-108.62663,44.962958
336984,1944,3,-108.588586,39.079859
337021,1945,3,-108.567479,39.060745
337026,1946,3,-108.566208,39.058931
337031,1947,3,-108.564778,39.060392
337039,1948,3,-108.56266,39.061036
