,energy_system_scenario,oil_prices,renewables_prices,hydrogen_subsidies,region,year,energy_price,technology,energy_price_unit,upstream_CO2_emission_factor,CO2_emission_factor_unit
157,50% CO2 reduction by 2050,High,Conservative,No,texas,2030,10.44136131,Biodiesel,$/Gallon,2.4,kgCO2/gallon
158,50% CO2 reduction by 2050,High,Conservative,No,texas,2035,8.525353416,Biodiesel,$/Gallon,2.4,kgCO2/gallon
159,50% CO2 reduction by 2050,High,Conservative,No,texas,2040,7.026947234,Biodiesel,$/Gallon,2.4,kgCO2/gallon
160,50% CO2 reduction by 2050,High,Conservative,No,texas,2045,5.611162741,Biodiesel,$/Gallon,2.4,kgCO2/gallon
161,50% CO2 reduction by 2050,High,Conservative,No,texas,2050,4.459403349,Biodiesel,$/Gallon,2.4,kgCO2/gallon
162,50% CO2 reduction by 2050,High,Conservative,Yes,california,2025,1.858344574,Biodiesel,$/Gallon,2.4,kgCO2/gallon
163,50% CO2 reduction by 2050,High,Conservative,Yes,california,2030,3.740192446,Biodiesel,$/Gallon,2.4,kgCO2/gallon
164,50% CO2 reduction by 2050,High,Conservative,Yes,california,2035,2.929332109,Biodiesel,$/Gallon,2.4,kgCO2/gallon
165,50% CO2 reduction by 2050,High,Conservative,Yes,california,2040,2.29624776,Biodiesel,$/Gallon,2.4,kgCO2/gallon
166,50% CO2 reduction by 2050,High,Conservative,Yes,california,2045,1.798639456,Biodiesel,$/Gallon,2.4,kgCO2/gallon
167,50% CO2 reduction by 2050,High,Conservative,Yes,california,2050,1.409414193,Biodiesel,$/Gallon,2.4,kgCO2/gallon
168,50% CO2 reduction by 2050,High,Conservative,Yes,central,2025,6.760335349,Biodiesel,$/Gallon,2.4,kgCO2/gallon
169,50% CO2 reduction by 2050,High,Conservative,Yes,central,2030,5.170924606,Biodiesel,$/Gallon,2.4,kgCO2/gallon
170,50% CO2 reduction by 2050,High,Conservative,Yes,central,2035,4.139359372,Biodiesel,$/Gallon,2.4,kgCO2/gallon
171,50% CO2 reduction by 2050,High,Conservative,Yes,central,2040,3.205727379,Biodiesel,$/Gallon,2.4,kgCO2/gallon
172,50% CO2 reduction by 2050,High,Conservative,Yes,central,2045,2.635439493,Biodiesel,$/Gallon,2.4,kgCO2/gallon
173,50% CO2 reduction by 2050,High,Conservative,Yes,central,2050,2.064448961,Biodiesel,$/Gallon,2.4,kgCO2/gallon
174,50% CO2 reduction by 2050,High,Conservative,Yes,middle_atlantic,2025,6.982775695,Biodiesel,$/Gallon,2.4,kgCO2/gallon
175,50% CO2 reduction by 2050,High,Conservative,Yes,middle_atlantic,2030,4.94970313,Biodiesel,$/Gallon,2.4,kgCO2/gallon
176,50% CO2 reduction by 2050,High,Conservative,Yes,middle_atlantic,2035,7.244313414,Biodiesel,$/Gallon,2.4,kgCO2/gallon
177,50% CO2 reduction by 2050,High,Conservative,Yes,middle_atlantic,2040,6.202642134,Biodiesel,$/Gallon,2.4,kgCO2/gallon
178,50% CO2 reduction by 2050,High,Conservative,Yes,middle_atlantic,2045,5.315313526,Biodiesel,$/Gallon,2.4,kgCO2/gallon
179,50% CO2 reduction by 2050,High,Conservative,Yes,middle_atlantic,2050,4.393096588,Biodiesel,$/Gallon,2.4,kgCO2/gallon
180,50% CO2 reduction by 2050,High,Conservative,Yes,north_east,2025,14.64385503,Biodiesel,$/Gallon,2.4,kgCO2/gallon
181,50% CO2 reduction by 2050,High,Conservative,Yes,north_east,2030,11.19869283,Biodiesel,$/Gallon,2.4,kgCO2/gallon
182,50% CO2 reduction by 2050,High,Conservative,Yes,north_east,2035,9.155567185,Biodiesel,$/Gallon,2.4,kgCO2/gallon
183,50% CO2 reduction by 2050,High,Conservative,Yes,north_east,2040,7.133717305,Biodiesel,$/Gallon,2.4,kgCO2/gallon
184,50% CO2 reduction by 2050,High,Conservative,Yes,north_east,2045,6.158853193,Biodiesel,$/Gallon,2.4,kgCO2/gallon
185,50% CO2 reduction by 2050,High,Conservative,Yes,north_east,2050,4.96557452,Biodiesel,$/Gallon,2.4,kgCO2/gallon
186,50% CO2 reduction by 2050,High,Conservative,Yes,north_west,2025,4.772350434,Biodiesel,$/Gallon,2.4,kgCO2/gallon
187,50% CO2 reduction by 2050,High,Conservative,Yes,north_west,2030,3.740120288,Biodiesel,$/Gallon,2.4,kgCO2/gallon
188,50% CO2 reduction by 2050,High,Conservative,Yes,north_west,2035,2.929704144,Biodiesel,$/Gallon,2.4,kgCO2/gallon
189,50% CO2 reduction by 2050,High,Conservative,Yes,north_west,2040,2.296020632,Biodiesel,$/Gallon,2.4,kgCO2/gallon
190,50% CO2 reduction by 2050,High,Conservative,Yes,north_west,2045,1.798709266,Biodiesel,$/Gallon,2.4,kgCO2/gallon
191,50% CO2 reduction by 2050,High,Conservative,Yes,north_west,2050,1.409470985,Biodiesel,$/Gallon,2.4,kgCO2/gallon
192,50% CO2 reduction by 2050,High,Conservative,Yes,north_central,2025,6.761373096,Biodiesel,$/Gallon,2.4,kgCO2/gallon
