energy_system_scenario,freight_demand_scenario,year,region,technology,train_energy_consumption,train_energy_consumption_unit,energy_consumption_at_the_well (GJ),upstream_CO2_emission_factor,downstream_CO2_emission_factor,CO2_emission_factor_unit,upstream_CH4_emission_factor,downstream_CH4_emission_factor,CH4_emission_factor_unit
Reference/business as usual,Agricultural Shift,2040,middle_atlantic,battery,3507072301,kWh,12625460,0.4,0.0,kgCO2/kWh,0.001,0.0,kgCH4/kWh
Reference/business as usual,Agricultural Shift,2040,north_central,diesel,192046186,gallon,26200014,1.6,10.1,kgCO2/gallon,0.014,0.00088,kgCH4/gallon
Reference/business as usual,Agricultural Shift,2040,north_central,hydrogen,218341655,kgH2,26200999,15.4,0.0,kgCO2/kgH2,0.031,0.0,kgCH4/kgH2
Reference/business as usual,Agricultural Shift,2040,north_central,biodiesel,207718312,gallon,26200014,2.4,5.05,kgCO2/gallon,0.004,0.00044,kgCH4/gallon
Reference/business as usual,Agricultural Shift,2040,north_central,catenary,7278055151,kWh,26200999,0.3,0.0,kgCO2/kWh,0.001,0.0,kgCH4/kWh
Reference/business as usual,Agricultural Shift,2040,north_central,battery,7278055151,kWh,26200999,0.3,0.0,kgCO2/kWh,0.001,0.0,kgCH4/kWh
Reference/business as usual,Agricultural Shift,2040,north_east,diesel,12387286,gallon,1689943,1.6,10.1,kgCO2/gallon,0.014,0.00088,kgCH4/gallon
Reference/business as usual,Agricultural Shift,2040,north_east,hydrogen,14083386,kgH2,1690006,14.4,0.0,kgCO2/kgH2,0.031,0.0,kgCH4/kgH2
Reference/business as usual,Agricultural Shift,2040,north_east,biodiesel,13398163,gallon,1689943,2.4,5.05,kgCO2/gallon,0.004,0.00044,kgCH4/gallon
Reference/business as usual,Agricultural Shift,2040,north_east,catenary,469446191,kWh,1690006,0.4,0.0,kgCO2/kWh,0.001,0.0,kgCH4/kWh
Reference/business as usual,Agricultural Shift,2040,north_east,battery,469446191,kWh,1690006,0.3,0.0,kgCO2/kWh,0.001,0.0,kgCH4/kWh
Reference/business as usual,Agricultural Shift,2040,north_west,diesel,109564334,gallon,14947379,1.6,10.1,kgCO2/gallon,0.014,0.00088,kgCH4/gallon
Reference/business as usual,Agricultural Shift,2040,north_west,hydrogen,124566170,kgH2,14947940,14.7,0.0,kgCO2/kgH2,0.031,0.0,kgCH4/kgH2
