energy_system_scenario,freight_demand_scenario,year,region,technology,energy_price,energy_price_unit
Reference/business as usual,Population Shift,2050,south_west,biodiesel,1.495270147,$/gallon
Reference/business as usual,Population Shift,2050,south_west,catenary,0.034425707,$/kWh
Reference/business as usual,Population Shift,2050,south_west,battery,0.034425707,$/kWh
Reference/business as usual,Population Shift,2050,texas,diesel,2.01620834,$/gallon
Reference/business as usual,Population Shift,2050,texas,hydrogen,1.038714893,$/kgH2
Reference/business as usual,Population Shift,2050,texas,biodiesel,2.949327099,$/gallon
Reference/business as usual,Population Shift,2050,texas,catenary,0.033758932,$/kWh
Reference/business as usual,Population Shift,2050,texas,battery,0.033758932,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2025,california,diesel,3.43,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2025,california,hydrogen,5.322934958,$/kgH2
50% CO2 reduction by 2050,Agricultural Shift,2025,california,biodiesel,5.167346673,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2025,california,catenary,0.162967067,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2025,california,battery,0.162967067,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2025,central,diesel,3.65,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2025,central,hydrogen,5.048456051,$/kgH2
50% CO2 reduction by 2050,Agricultural Shift,2025,central,biodiesel,6.947963355,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2025,central,catenary,0.144929739,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2025,central,battery,0.144929739,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2025,middle_atlantic,diesel,3.12,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2025,middle_atlantic,hydrogen,5.118602981,$/kgH2
50% CO2 reduction by 2050,Agricultural Shift,2025,middle_atlantic,biodiesel,8.311277675,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2025,middle_atlantic,catenary,0.145559212,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2025,middle_atlantic,battery,0.145559212,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2025,north_central,diesel,2.88,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2025,north_central,hydrogen,5.067500738,$/kgH2
50% CO2 reduction by 2050,Agricultural Shift,2025,north_central,biodiesel,6.946996515,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2025,north_central,catenary,0.144904996,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2025,north_central,battery,0.144904996,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2025,north_east,diesel,4.11,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2025,north_east,hydrogen,5.642041583,$/kgH2
50% CO2 reduction by 2050,Agricultural Shift,2025,north_east,biodiesel,7.76866625,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2025,north_east,catenary,0.176040463,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2025,north_east,battery,0.176040463,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2025,north_west,diesel,3.81,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2025,north_west,hydrogen,4.386039378,$/kgH2
50% CO2 reduction by 2050,Agricultural Shift,2025,north_west,biodiesel,5.080880414,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2025,north_west,catenary,0.13489005,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2025,north_west,battery,0.13489005,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2025,south_east,diesel,3.54,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2025,south_east,hydrogen,4.841687484,$/kgH2
50% CO2 reduction by 2050,Agricultural Shift,2025,south_east,biodiesel,7.380479963,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2025,south_east,catenary,0.145147625,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2025,south_east,battery,0.145147625,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2025,south_west,diesel,3.24,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2025,south_west,hydrogen,4.289210526,$/kgH2
