Dist(mi),SpdLim(mph),Grade(%),Curve(Doc),Catenary(Y/N),Elev
117.2248142,45.80452848,-0.394,2.724,0,1739.175053
117.4993222,40.94273953,0.383,3.409,0,1744.727487
117.8021648,55.79126317,1.421,1.836,0,1767.456794
118.1119679,54.6212534,3.155,1.915,1,1819.070865
118.419846,60.0,1.392,0.443,0,1841.701433
118.7163388,44.05650705,3.557,2.944,1,1897.383528
119.0203533,60.0,1.309,0.38,0,1918.395155
119.3254259,58.75699945,1.237,1.655,0,1938.326427
119.6277329,39.13478259,1.726,3.731,0,1965.872661
119.9306208,51.30880512,3.258,2.171,1,2017.982956
120.2340648,34.69482991,0.472,4.747,0,2025.552834
120.524411,44.51659502,0.115,2.883,0,2027.321021
120.8147571,47.77977083,5.827,2.503,1,2116.651182
121.1193433,50.42527226,0.202,2.247,0,2119.901315
121.4228811,60.0,0.025,0.635,0,2120.30848
121.726419,58.78237109,5.818,1.654,1,2213.56022
122.0313469,49.30155959,2.274,2.351,1,2250.179217
122.3418248,60.0,1.931,1.05,0,2281.838727
122.6315179,34.99133079,0.47,4.667,0,2289.024875
122.9408961,60.0,0.873,0.898,0,2303.292871
123.2224641,29.97709202,0.104,6.359,0,2304.843367
123.525815,45.54794129,0.579,2.754,0,2314.121159
123.8260944,47.90224842,1.101,2.49,0,2331.579737
124.1367103,60.0,1.144,0.74,0,2350.339244
124.4436185,60.0,1.154,1.169,0,2369.043468
124.7510175,60.0,1.705,0.845,0,2396.724638
125.0608195,60.0,1.596,0.991,0,2422.832486
125.2990699,60.0,0.884,0.0,0,2433.95453
125.6097255,60.0,1.514,0.0,0,2458.790481
125.920411,60.0,2.175,0.037,1,2494.477754
126.2310493,60.0,1.517,0.56,0,2519.352718
126.5415472,60.0,1.259,0.265,0,2539.999088
126.8519344,60.0,0.163,0.368,0,2542.66806
127.1625658,60.0,1.882,0.103,0,2573.542768
127.4731737,60.0,0.791,0.278,0,2586.520103
127.7828606,55.50860062,-1.128,1.855,0,2568.08087
128.091093,60.0,0.34,0.894,0,2573.616842
128.3998273,60.0,-0.471,1.101,0,2565.935643
128.7102749,60.0,-1.386,0.617,0,2543.210256
129.0026604,29.1786218,-0.354,6.712,0,2537.741994
129.2933781,24.59525751,3.257,9.446,1,2587.73485
129.6020212,42.23365967,2.623,3.204,1,2630.472755
129.8555213,42.23365967,1.038,3.204,0,2644.359874
130.1305556,60.0,2.417,0.0,1,2679.464849
130.3648125,60.0,0.0,0.0,0,2679.464849
130.6739439,60.0,1.288,0.0,0,2700.495026
130.9817966,41.27043853,3.572,3.355,1,2758.549041
131.2849306,33.4922626,1.985,5.094,0,2790.32091
131.5758596,51.63314445,1.685,2.143,0,2816.211392
131.8856826,43.03894761,0.607,3.085,0,2826.136796
132.1848964,55.70895217,2.669,1.841,1,2868.310838
132.494825,54.00653632,3.441,1.959,1,2924.612912
132.7926022,60.0,0.991,1.19,0,2940.190808
133.0952372,43.27130425,1.436,3.052,0,2963.138807
